"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0.0024,35.4864,-0.676685,-30.5742,21.2953,-7.06411,5.6535,-15.0956,-4.35375,-5.21672,6.30544,3.79653,-10.102,29.1809,-4.47322,-20.4722,10.2053,-7.86589,-7.64275,1.86028,-1.14343e-12,1.37573e-12,1.37962e-306,-7.06411,5.6535,-15.0956,-4.35375,-5.21672,104.854
0.0025,35.4054,-0.158626,-30.2642,21.88,-6.82695,6.04112,-14.5977,-4.33524,-5.20266,6.34221,4.38869,-10.7309,29.0632,-4.54732,-19.5333,10.79,-7.64272,-7.26866,2.36173,-1.06205e-12,1.43579e-12,3.75603e-317,-6.82695,6.04112,-14.5977,-4.33524,-5.20266,99.7505
0.0026,35.2287,0.392053,-29.9,22.4476,-6.62466,6.42652,-14.1345,-4.3292,-5.19838,6.32478,5.00734,-11.3321,28.9039,-4.61529,-18.5678,11.3576,-7.41285,-6.85746,2.81525,-9.99804e-13,1.48402e-12,1.63042e-322,-6.62466,6.42652,-14.1345,-4.3292,-5.19838,94.5049
0.0027,34.9591,0.973829,-29.482,22.9977,-6.45489,6.80886,-13.7041,-4.33527,-5.20224,6.25362,5.64896,-11.9026,28.7055,-4.67513,-17.5795,11.9077,-7.17777,-6.41578,3.21839,-9.40797e-13,1.52141e-12,2.25327e-316,-6.45489,6.80886,-13.7041,-4.33527,-5.20224,89.1251
0.0028,34.5996,1.58515,-29.0113,23.5299,-6.31538,7.1874,-13.3048,-4.35308,-5.21272,6.12948,6.30999,-12.4395,28.4701,-4.72483,-16.5718,12.4399,-6.93879,-5.9502,3.56959,-8.84826e-13,1.55123e-12,5.63802e-228,-6.31538,7.1874,-13.3048,-4.35308,-5.21272,83.6186
0.0029,34.1529,2.22445,-28.4885,24.044,-6.20398,7.5615,-12.935,-4.38215,-5.22842,5.95339,6.98684,-12.9402,28.1995,-4.76239,-15.5483,12.954,-6.69713,-5.46713,3.86808,-8.36275e-13,1.57935e-12,3.45846e-323,-6.20398,7.5615,-12.935,-4.38215,-5.22842,77.9933
0.003,33.6219,2.89013,-27.9146,24.5398,-6.11865,7.93057,-12.5931,-4.42199,-5.24806,5.72663,7.67596,-13.4026,27.8953,-4.78583,-14.512,13.4498,-6.45389,-4.97281,4.11387,-7.98963e-13,1.59967e-12,6.37345e-322,-6.11865,7.93057,-12.5931,-4.42199,-5.24806,72.2571
0.0031,33.0095,3.58056,-27.2907,25.0172,-6.05744,8.29411,-12.2776,-4.47207,-5.27045,5.45073,8.37382,-13.8246,27.5587,-4.79326,-13.4661,13.9272,-6.21007,-4.47317,4.30763,-7.67701e-13,1.61091e-12,2.122e-314,-6.05744,8.29411,-12.2776,-4.47207,-5.27045,66.4183
0.0032,32.3184,4.29411,-26.6177,25.4762,-6.01852,8.6517,-11.9871,-4.53182,-5.29451,5.12742,9.07694,-14.2044,27.191,-4.78283,-12.4133,14.3862,-5.96655,-3.97379,4.45069,-7.41614e-13,1.62148e-12,1.39065e-309,-6.01852,8.6517,-11.9871,-4.53182,-5.29451,60.4851
0.0033,31.5516,5.02912,-25.8968,25.9169,-6.00013,9.00294,-11.7203,-4.60065,-5.31926,4.75861,9.78192,-14.5405,26.793,-4.7528,-11.3562,14.8269,-5.72415,-3.47988,4.54492,-7.23388e-13,1.63107e-12,0,-6.00013,9.00294,-11.7203,-4.60065,-5.31926,54.4659
